datetime,latitude,longitude
2016-04-03 06:24:48.004000+00:00,6.5630972,3.3749272
2016-04-03 07:29:00.064000+00:00,6.5627685,3.3753355
2016-04-03 08:14:31+00:00,6.5628099,3.3751057
2016-04-03 09:25:34.508000+00:00,6.5581342,3.376662
2016-04-03 11:30:56.449000+00:00,6.5677303,3.3758702
2016-04-03 13:36:41.719000+00:00,6.5670843,3.3760848
2016-04-03 14:24:40.559000+00:00,6.5632109,3.3750154
2016-04-03 15:46:44.690000+00:00,6.5632985,3.374998
2016-04-03 16:19:39.934000+00:00,6.5630342,3.3752013
2016-04-03 17:45:00.438000+00:00,6.5677303,3.3758702
2016-04-03 18:46:34.200000+00:00,6.5629872,3.3761421
2016-04-03 20:37:49.457000+00:00,6.5759614,3.3631613
2016-04-03 20:41:31.655000+00:00,6.5753489,3.3647899
2016-04-03 21:11:44.953000+00:00,6.5741304,3.3730001
2016-04-03 21:12:02.332000+00:00,6.5741629,3.3729621
2016-04-03 21:22:26.261000+00:00,6.5740764,3.3728969
2016-04-03 22:50:17.011000+00:00,6.5738268,3.3730263
2016-04-04 00:58:21.999000+00:00,6.5739707,3.3728995
2016-04-04 03:07:21.999000+00:00,6.574072,3.3728782
2016-04-04 05:00:15.239000+00:00,6.5740941,3.3729922
2016-04-04 06:53:29.011000+00:00,6.5740963,3.3728938
2016-04-04 08:47:13.259000+00:00,6.5739761,3.3729774
2016-04-04 10:49:33.616000+00:00,6.5740963,3.3729829
2016-04-04 12:55:24+00:00,6.574019,3.373028
2016-04-04 15:00:39.123000+00:00,6.578108,3.3727873
2016-04-04 17:01:00+00:00,6.5743914,3.373181
2016-04-04 17:09:04.797000+00:00,6.5698122,3.3726299
2016-04-04 17:12:55.590000+00:00,6.5638389,3.3708764
2016-04-04 17:18:06.708000+00:00,6.5631957,3.3734424
2016-04-04 17:18:19.505000+00:00,6.5635823,3.3742358
2016-04-04 17:20:54.999000+00:00,6.563289,3.3741182
2016-04-04 18:58:27.738000+00:00,6.5637821,3.3743563
2016-04-04 19:12:17.963000+00:00,6.5637281,3.3743415
2016-04-04 21:10:48.273000+00:00,6.5740994,3.3730569
2016-04-04 23:18:14.327000+00:00,6.5740952,3.3729872
2016-04-05 01:30:36.889000+00:00,6.5742527,3.3729141
2016-04-05 03:32:54+00:00,6.5740953,3.3729637
2016-04-05 05:39:30.999000+00:00,6.5740801,3.3728669
2016-04-05 06:48:01.562000+00:00,6.5685714,3.3701616
2016-04-05 06:51:33.020000+00:00,6.5640472,3.3721121
2016-04-05 06:54:04.354000+00:00,6.5646365,3.3738898
2016-04-05 06:56:09+00:00,6.5657008,3.3742463
2016-04-05 06:58:13.783000+00:00,6.5644833,3.3748322
2016-04-05 07:01:44+00:00,6.5641177,3.3725995
2016-04-05 07:08:23.613000+00:00,6.5721793,3.3720972
2016-04-05 07:10:26.975000+00:00,6.5743683,3.3729097
2016-04-05 07:22:43.721000+00:00,6.5739607,3.3698628
2016-04-05 07:28:03.017000+00:00,6.5615278,3.3669105
2016-04-05 07:31:01.973000+00:00,6.5395909,3.3671605
2016-04-05 07:33:49.705000+00:00,6.5326832,3.3673625
2016-04-05 07:43:59.913000+00:00,6.4980999,3.3617528
2016-04-05 08:01:51.479000+00:00,6.4685078,3.378046
2016-04-05 08:51:33.052000+00:00,6.4472611,3.3983121
2016-04-05 08:54:36.040000+00:00,6.4455349,3.3973853
2016-04-05 08:57:23+00:00,6.447064,3.3941254
2016-04-05 08:59:25.999000+00:00,6.4490414,3.3913764
2016-04-05 09:03:29+00:00,6.4501395,3.3894566
2016-04-05 09:06:34.001000+00:00,6.451143,3.3877807
2016-04-05 09:08:25.504000+00:00,6.452692,3.3849407
2016-04-05 09:10:41.578000+00:00,6.4643205,3.3802881
2016-04-05 09:13:23.582000+00:00,6.4816591,3.3694695
2016-04-05 09:15:50.027000+00:00,6.4849139,3.3663692
2016-04-05 09:19:07.031000+00:00,6.49366,3.3620586
2016-04-05 09:22:08.196000+00:00,6.5057497,3.3638
2016-04-05 09:24:52.541000+00:00,6.5242246,3.3676633
2016-04-05 09:27:59.015000+00:00,6.5407602,3.3672056
2016-04-05 09:29:58.984000+00:00,6.546631,3.3671895
2016-04-05 09:31:11+00:00,6.553003,3.3671414
2016-04-05 09:35:17.005000+00:00,6.5745236,3.3695357
2016-04-05 09:39:53.135000+00:00,6.5778826,3.3716842
2016-04-05 09:45:25.903000+00:00,6.5816901,3.3746705
2016-04-05 10:00:34.134000+00:00,6.5865484,3.3782117
2016-04-05 10:10:02.233000+00:00,6.5861976,3.3764346
2016-04-05 10:11:02.893000+00:00,6.5866351,3.3756067
2016-04-05 11:41:16.840000+00:00,6.5865817,3.3754534
2016-04-05 12:05:54.371000+00:00,6.5865553,3.3755071
2016-04-05 14:04:56.651000+00:00,6.5865846,3.3754483
2016-04-05 15:28:07.916000+00:00,6.5862954,3.3775702
2016-04-05 15:33:09.824000+00:00,6.5823325,3.3750611
2016-04-05 15:37:31.297000+00:00,6.5753566,3.3695395
2016-04-05 15:41:56.164000+00:00,6.5736386,3.3686867
2016-04-05 15:47:54.393000+00:00,6.5720853,3.3680285
2016-04-05 15:53:38.927000+00:00,6.5687877,3.3691181
2016-04-05 16:02:32.435000+00:00,6.5630812,3.3748305
2016-04-05 16:16:12.590000+00:00,6.5680316,3.3763924
2016-04-05 16:23:24.748000+00:00,6.5574561,3.3800822
2016-04-05 17:27:54.239000+00:00,6.5628361,3.3744074
2016-04-05 18:05:10.442000+00:00,6.5587461,3.3785975
2016-04-05 18:24:12.458000+00:00,6.5579845,3.3791117
2016-04-05 18:29:06.544000+00:00,6.5677246,3.3764252
2016-04-05 19:05:39.359000+00:00,6.5716929,3.3740209
2016-04-05 19:16:26.650000+00:00,6.5740102,3.3730993
2016-04-05 19:23:36.002000+00:00,6.5739825,3.3731259
2016-04-05 19:54:01.999000+00:00,6.5722636,3.3704317
2016-04-05 20:15:36.833000+00:00,6.5728956,3.3680509
2016-04-05 20:28:49.999000+00:00,6.5640382,3.368843
2016-04-05 20:34:21+00:00,6.5635445,3.3713314
2016-04-05 20:40:39+00:00,6.5708097,3.3716045
2016-04-05 20:48:31.555000+00:00,6.5731058,3.3681849
2016-04-05 20:57:24.999000+00:00,6.5730741,3.3681927
2016-04-05 21:02:41.274000+00:00,6.5742598,3.3696505
2016-04-05 21:15:28.248000+00:00,6.5719299,3.3669433
